,State,counts
0,AK,49
1,AL,197
2,AR,131
3,AZ,299
4,CA,1127
5,CO,251
6,CT,54
7,DC,24
8,DE,25
9,FL,577
10,GA,366
11,HI,46
12,IA,77
13,ID,64
14,IL,230
15,IN,191
16,KS,110
17,KY,141
18,LA,184
19,MA,70
20,MD,135
21,ME,37
22,MI,208
23,MN,109
24,MO,271
25,MS,134
26,MT,44
27,NC,251
28,ND,22
29,NE,67
30,NH,26
31,NJ,139
32,NM,149
33,NV,125
34,NY,191
35,OH,307
36,OK,233
37,OR,113
38,PA,226
39,RI,6
40,SC,171
41,SD,29
42,TN,202
43,TX,833
44,UT,81
45,VA,178
46,VT,17
47,WA,209
48,WI,151
49,WV,78
50,WY,29
