State,Age,Gender,Race,City,Latitude,Longitude,Cause_of_Death,Mental_Illness,Year
MA,22,Male,European-American/White,Chatham,41.6893889,-69.9659954,Vehicle,Drug or alcohol use,2015
FL,18,Male,Hispanic/Latino,Key Largo,25.1561037,-80.3902679,Tasered,Drug or alcohol use,2015
GA,22,Male,African-American/Black,Savannah,32.066691,-81.16788100000001,Beaten/Bludgeoned with instrument,No,2015
WA,53,Male,Asian/Pacific Islander,Shelton,47.246533899999996,-123.119497,Gunshot,Yes,2015
OR,47,Male,European-American/White,Aloha,45.4873752,-122.89142209999999,Gunshot,Drug or alcohol use,2015
PA,53,Male,European-American/White,New Castle,40.9971229,-80.337265,Vehicle,No,2015
HI,19,Male,European-American/White,Kaumakani,21.934926,-159.64399540000002,Vehicle,No,2015
KS,23,Male,Hispanic/Latino,Wichita,37.693796899999995,-97.2805489,Gunshot,No,2015
NC,24,Male,African-American/Black,Charlotte,35.2765803,-80.794763,Gunshot,No,2015
OK,18,Male,European-American/White,Guthrie,35.8769929,-97.422764,Gunshot,No,2015
CA,32,Male,European-American/White,San Francisco,37.763304,-122.42175659999998,Gunshot,Unknown,2015
CO,39,Male,Hispanic/Latino,Evans,40.3840945,-104.69217459999999,Gunshot,No,2015
AZ,22,Male,Native American/Alaskan,Chandler,33.3279337,-111.8329285,Gunshot,No,2015
PA,47,Male,African-American/Black,Knoxville,40.4132265,-79.99115479999999,Gunshot,No,2015
CA,26,Male,African-American/Black,Los Angeles,33.9208908,-118.2462156,Tasered,Drug or alcohol use,2015
CA,25,Male,European-American/White,Stockton,37.929792,-121.29813870000001,Gunshot,Drug or alcohol use,2015
KS,35,Male,European-American/White,Assaria,38.711219799999995,-97.56804190000001,Gunshot,Drug or alcohol use,2015
IA,34,Female,Native American/Alaskan,Burlington,40.810027000000005,-91.118587,Gunshot,No,2015
LA,37,Male,African-American/Black,New Orleans,29.937475199999998,-90.09049920000001,Gunshot,No,2015
OH,41,Male,African-American/Black,Columbus,39.99805739999999,-82.8838088,Gunshot,Unknown,2015
TX,31,Male,African-American/Black,Freeport,28.955313099999998,-95.3684656,Gunshot,No,2015
NE,42,Male,African-American/Black,Norfolk,42.0168386,-97.4236949,Tasered,Unknown,2015
TX,41,Male,European-American/White,Orange,30.100437100000004,-93.7665686,Drug overdose,Drug or alcohol use,2015
IA,30,Male,European-American/White,Des Moines,41.5810414,-93.60962009999999,Gunshot,No,2015
IL,31,Male,European-American/White,Rosemont,41.9896575,-87.8758712,Gunshot,Unknown,2015
AR,36,Male,African-American/Black,Strong,33.1112832,-92.3590764,Gunshot,No,2015
UT,42,Male,European-American/White,Salt Lake City,40.7716992,-111.8714946,Gunshot,Unknown,2015
UT,49,Male,European-American/White,Syracuse,41.083125,-112.083141,Gunshot,Yes,2015
MT,28,Male,European-American/White,Huntley,45.854758200000006,-108.3146107,Gunshot,No,2015
TX,47,Male,European-American/White,Little Elm,33.1656864,-96.9372813,Gunshot,Yes,2015
AR,71,Male,European-American/White,England,34.542133,-91.965851,Gunshot,No,2015
TX,33,Male,Hispanic/Latino,El Paso,31.8576785,-106.43973899999999,Gunshot,No,2015
IN,56,Male,European-American/White,Jeffersonville,38.326532,-85.7515874,Asphyxiated/Restrained,No,2015
MS,31,Male,African-American/Black,Pascagoula,30.3617896,-88.5145135,Burned/Smoke inhalation,Unknown,2015
IL,39,Male,European-American/White,Arcola,39.6919192,-88.3027459,Gunshot,No,2015
CA,26,Male,European-American/White,Atwater,37.350116299999996,-120.5796933,Gunshot,Yes,2015
NV,29,Male,Hispanic/Latino,Las Vegas,36.1848492,-115.1161587,Gunshot,No,2015
CA,23,Male,Hispanic/Latino,South Gate,33.952454100000004,-118.1889799,Gunshot,No,2015
NM,35,Male,European-American/White,Albuquerque,35.099199,-106.585967,Gunshot,No,2015
TX,43,Male,European-American/White,Jourdanton,28.9115688,-98.54308759999999,Gunshot,Yes,2015
VA,34,Male,African-American/Black,Chesapeake,36.7820284,-76.3479715,Gunshot,Yes,2015
MN,24,Male,African-American/Black,St. Paul,44.957908,-93.0941173,Gunshot,Unknown,2015
TX,68,Male,European-American/White,Lake Jackson,29.034467,-95.42835620000001,Gunshot,Unknown,2015
MO,29,Male,European-American/White,Robertsville,38.318755200000005,-90.7943153,Gunshot,No,2015
NY,87,Male,European-American/White,Catskill,42.262431,-73.9357393,Vehicle,No,2015
NJ,75,Male,European-American/White,Old Bridge,40.405239,-74.301112,Gunshot,Unknown,2015
UT,34,Male,European-American/White,Draper,40.5398401,-111.88735759999999,Gunshot,No,2015
CO,39,Male,African-American/Black,Aurora,39.725514200000006,-104.7725198,Gunshot,No,2015
IN,27,Male,African-American/Black,Indianapolis,39.826282,-85.991069,Gunshot,No,2015
AZ,45,Male,African-American/Black,Scottsdale,33.509394,-111.9086866,Gunshot,Unknown,2015
NJ,38,Male,European-American/White,Nutley,40.8272845,-74.152343,Gunshot,Yes,2015
NJ,37,Female,European-American/White,Nutley,40.8272845,-74.152343,Gunshot,No,2015
LA,33,Male,European-American/White,Ville Platte,30.748445,-92.44003690000001,Gunshot,No,2015
KY,69,Male,European-American/White,Crab Orchard,37.4671684,-84.5152709,Vehicle,No,2015
MN,24,Male,European-American/White,Bloomington,44.825743200000005,-93.35791929999999,Gunshot,Yes,2015
CA,36,Male,Hispanic/Latino,Fairfield,38.2654569,-121.99730749999999,Gunshot,Drug or alcohol use,2015
OK,23,Male,African-American/Black,Tulsa,36.1467098,-95.9925863,Gunshot,No,2015
TX,23,Male,African-American/Black,Houston,29.977958,-95.437389,Vehicle,No,2015
MN,57,Male,Asian/Pacific Islander,Brooklyn Center,45.060207,-93.31929759999998,Tasered,No,2015
TX,41,Male,European-American/White,Mabank,32.407081,-96.06456899999999,Gunshot,No,2015
TX,26,Male,Hispanic/Latino,Houston,29.612590500000003,-95.2140635,Gunshot,No,2015
CA,48,Male,Race unspecified,Fremont,37.5864513,-122.0599902,Gunshot,No,2015
OK,21,Male,African-American/Black,Muskogee,35.7671755,-95.3934845,Gunshot,No,2015
TX,27,Male,Hispanic/Latino,Fort Worth,32.8103766,-97.3345051,Gunshot,No,2015
CA,24,Male,Hispanic/Latino,Los Angeles,34.038262100000004,-118.23272620000002,Gunshot,Unknown,2015
KY,67,Male,European-American/White,Gunlock,37.5358631,-82.9207172,Gunshot,No,2015
AZ,32,Male,European-American/White,Maricopa,33.0838932,-112.03807959999999,Gunshot,Unknown,2015
MO,20,Female,European-American/White,St. Louis,38.6462722,-90.23870050000001,Vehicle,Drug or alcohol use,2015
MO,18,Female,European-American/White,St. Louis,38.6462722,-90.23870050000001,Vehicle,Drug or alcohol use,2015
TX,21,Male,Hispanic/Latino,Sugarland,29.5914538,-95.6321929,Gunshot,Unknown,2015
MA,49,Male,European-American/White,Weymouth,42.256696500000004,-70.9315849,Gunshot,Unknown,2015
WV,44,Male,European-American/White,Charles Town,39.2925994,-77.89253000000001,Gunshot,No,2015
MO,19,Male,African-American/Black,St. Louis,38.6649101,-90.2501309,Gunshot,No,2015
MS,45,Male,European-American/White,Robinsonville,34.8274631,-90.3283779,Gunshot,No,2015
NH,54,Male,European-American/White,Derry,42.908086,-71.33668940000001,Gunshot,Yes,2015
CA,36,Male,European-American/White,Hemet,33.7417065,-116.958603,Gunshot,No,2015
TX,36,Male,Hispanic/Latino,Chapeño,26.561949,-99.1242441,Gunshot,No,2015
TX,25,Male,African-American/Black,Sierra Blanca,31.173370799999997,-105.35746520000001,Gunshot,No,2015
TX,17,Female,European-American/White,Longview,32.4952158,-94.74662020000001,Gunshot,No,2015
FL,29,Male,African-American/Black,Lauderhill,26.150782999999997,-80.2089979,Gunshot,No,2015
TX,61,Male,European-American/White,Austin,30.1671859,-97.7885265,Gunshot,Yes,2015
TX,56,Male,Hispanic/Latino,Levelland,33.577556099999995,-102.36914490000001,Gunshot,Unknown,2015
AL,50,Male,Race unspecified,Birmingham,33.5392826,-86.79369399999999,Vehicle,Unknown,2015
MD,26,Male,African-American/Black,Baltimore,39.284467,-76.646863,Gunshot,No,2015
ID,45,Male,European-American/White,Rexburg,43.8257117,-111.77871409999999,Gunshot,No,2015
OH,51,Male,European-American/White,Shaker Heights,41.4806023,-81.54505470000001,Vehicle,No,2015
NJ,59,Male,Race unspecified,Winslow,39.7364359,-74.93031979999999,Gunshot,No,2015
LA,18,Male,European-American/White,Rayne,30.2302718,-92.3124987,Undetermined,Unknown,2015
CO,26,Male,Hispanic/Latino,Pueblo,38.286882500000004,-104.5722382,Gunshot,No,2015
TN,21,Male,European-American/White,Afton,36.147443,-82.70721879999999,Vehicle,No,2015
OR,35,Female,Race unspecified,Salem,45.0155902,-122.8765522,Vehicle,No,2015
MN,68,Male,European-American/White,New Hope,45.03573239999999,-93.38571379999999,Gunshot,No,2015
AZ,29,Male,European-American/White,Morenci,33.05628230000001,-109.32856149999999,Gunshot,No,2015
TX,24,Male,Hispanic/Latino,Tahoka,33.1664401,-101.7937704,Gunshot,No,2015
CA,34,Male,Hispanic/Latino,Wasco,35.589042799999994,-119.33513290000002,Gunshot,Yes,2015
CO,17,Transgender,Hispanic/Latino,Denver,39.753405900000004,-104.90938030000001,Gunshot,Unknown,2015
OH,33,Male,African-American/Black,Columbus,39.879544700000004,-82.99859980000001,Gunshot,No,2015
AL,61,Male,European-American/White,Madison,34.702626,-86.77994699999999,Gunshot,Unknown,2015
NE,39,Female,European-American/White,Omaha,41.2427474,-95.9904437,Gunshot,Unknown,2015
AZ,26,Male,Native American/Alaskan,Phoenix,33.496392300000004,-112.1142435,Gunshot,No,2015
CA,35,Male,Asian/Pacific Islander,Stockton,38.029084000000005,-121.316245,Gunshot,Drug or alcohol use,2015
TX,26,Male,European-American/White,Rosenberg,29.557534399999998,-95.7848822,Gunshot,No,2015
TX,45,Male,European-American/White,Sunset,33.4562976,-97.8100295,Gunshot,No,2015
PA,42,Male,European-American/White,Pleasant Hills,40.3383674,-79.9673828,Gunshot,Unknown,2015
AK,33,Male,Native American/Alaskan,Anchorage,61.218408499999995,-149.858016,Undetermined,No,2015
TX,21,Female,European-American/White,Conroe,30.279827299999997,-95.4585079,Vehicle,Drug or alcohol use,2015
DC,18,Male,Race unspecified,Washington,38.9410437,-77.0019644,Vehicle,No,2015
MI,31,Male,European-American/White,Wyoming,42.8944307,-85.66097740000001,Gunshot,No,2015
OK,42,Male,European-American/White,Stillwater,36.1233308,-97.05147190000001,Gunshot,No,2015
TX,40,Male,European-American/White,Fort Worth,32.678602000000005,-97.38073399999999,Gunshot,Yes,2015
TX,25,Male,European-American/White,Austin,30.188723100000004,-97.7686868,Drug overdose,Yes,2015
MT,48,Male,European-American/White,Billings,45.7896391,-108.51321599999999,Gunshot,No,2015
MD,56,Male,African-American/Black,Randallstown,39.3816374,-76.8225979,Gunshot,No,2015
WV,14,Male,European-American/White,Oak Hill,38.009003899999996,-81.14513769999999,Vehicle,No,2015
TX,31,Male,Hispanic/Latino,Katy,29.8607521,-95.71939880000001,Gunshot,No,2015
KY,27,Male,European-American/White,Paducah,37.052026399999995,-88.64917690000001,Vehicle,No,2015
MI,17,Male,European-American/White,Bay City,43.5999245,-83.8730138,Gunshot,No,2015
CA,42,Male,European-American/White,Apple Valley,34.4172026,-117.17687690000001,Gunshot,Unknown,2015
PA,59,Male,European-American/White,Hummelstown,40.273445,-76.712734,Gunshot,Drug or alcohol use,2015
CA,29,Male,African-American/Black,Antioch,37.9993842,-121.81825570000001,Gunshot,Unknown,2015
CA,38,Female,African-American/Black,Oakland,37.827484000000005,-122.2846188,Gunshot,No,2015
MO,23,Male,African-American/Black,St. Louis,38.581711799999994,-90.23688890000001,Gunshot,No,2015
GA,45,Male,European-American/White,Douglas,31.523360999999998,-82.845175,Gunshot,Unknown,2015
OH,34,Male,European-American/White,Winesburg,40.6135144,-81.6991447,Gunshot,Unknown,2015
LA,46,Male,European-American/White,Denham Springs,30.5086711,-90.9263948,Gunshot,Unknown,2015
TX,35,Male,Hispanic/Latino,Electra,34.0292311,-98.918975,Tasered,Yes,2015
TX,51,Male,African-American/Black,Lorena,31.385812100000003,-97.21242509999999,Gunshot,No,2015
TN,36,Male,African-American/Black,Memphis,35.1647745,-89.9336694,Gunshot,No,2015
IL,60,Male,African-American/Black,Chicago,41.7520698,-87.55671020000001,Vehicle,No,2015
FL,28,Male,African-American/Black,Tallahassee,30.465890899999998,-84.33061459999999,Gunshot,No,2015
CA,59,Male,European-American/White,Chino,33.9532701,-117.650501,Gunshot,No,2015
CA,50,Male,Hispanic/Latino,Sacramento,38.5830006,-121.49762859999998,Undetermined,Unknown,2015
AZ,28,Male,Hispanic/Latino,Phoenix,33.378241700000004,-111.97840459999999,Gunshot,No,2015
AZ,28,Male,Hispanic/Latino,Phoenix,33.378241700000004,-111.97840459999999,Gunshot,No,2015
FL,37,Male,Hispanic/Latino,Orlando,28.499575,-81.305503,Gunshot,No,2015
CA,36,Male,European-American/White,Calimesa,33.9932339,-117.05713440000001,Gunshot,No,2015
OK,26,Male,African-American/Black,Oklahoma City,35.403065000000005,-97.532566,Gunshot,No,2015
NY,25,Male,European-American/White,Beaver Dams,42.293409999999994,-77.036673,Medical emergency,No,2015
CA,33,Male,Race unspecified,Palm Desert,33.740584600000005,-116.30392090000001,Vehicle,Drug or alcohol use,2015
NC,74,Male,African-American/Black,Gastonia,35.265836,-81.227062,Gunshot,No,2015
AL,20,Male,European-American/White,Mobile,30.663151,-88.099295,Gunshot,Unknown,2015
NY,57,Male,European-American/White,New City,41.151990000000005,-74.000905,Gunshot,Drug or alcohol use,2015
TX,27,Male,European-American/White,Austin,30.247010999999997,-97.88838179999999,Gunshot,Unknown,2015
FL,46,Male,European-American/White,Orlando,28.4818441,-81.3293638,Gunshot,Unknown,2015
AK,33,Male,Hispanic/Latino,Anchorage,61.2076377,-149.85876240000002,Gunshot,No,2015
TX,45,Male,African-American/Black,Dallas,32.6591946,-96.7516655,Gunshot,No,2015
FL,27,Male,African-American/Black,Pompano Beach,26.210994600000003,-80.1412365,Drowned,No,2015
CA,64,Male,European-American/White,Marina Del Rey,33.9774513,-118.43182859999999,Vehicle,No,2015
TX,40,Male,European-American/White,Nocona,33.7873468,-97.7128484,Gunshot,Unknown,2015
LA,30,Male,Race unspecified,Amite City,30.728575,-90.507871,Vehicle,Unknown,2015
TN,48,Male,African-American/Black,Memphis,35.0257196,-90.0541696,Gunshot,Unknown,2015
ME,61,Male,European-American/White,Smyrna Mills,46.1595173,-68.1033892,Gunshot,Yes,2015
CO,45,Male,European-American/White,Glenwood Springs,39.574721200000006,-107.4481297,Gunshot,Unknown,2015
OH,47,Female,Race unspecified,Fostoria,41.1636277,-83.4134837,Gunshot,Yes,2015
WA,35,Male,Hispanic/Latino,Pasco,46.2284258,-119.10195870000001,Gunshot,Yes,2015
CA,23,Male,African-American/Black,San Jose,37.3166901,-121.876126,Gunshot,No,2015
FL,37,Male,European-American/White,Port St. Joe,29.812507,-85.30211070000001,Gunshot,Unknown,2015
AL,46,Male,European-American/White,Dadeville,32.8718426,-85.7059239,Gunshot,Yes,2015
CA,40s,Male,Race unspecified,Arleta,34.2456451,-118.4356835,Gunshot,No,2015
DC,33,Male,Race unspecified,Washington,38.9162869,-77.0345328,Gunshot,No,2015
TN,27,Male,European-American/White,Atwood,35.9501995,-88.5721311,Gunshot,No,2015
CA,23,Male,European-American/White,San Bernardino,34.225117299999994,-117.40766670000001,Gunshot,No,2015
AZ,37,Male,Hispanic/Latino,San Manuel,32.6102275,-110.6316586,Gunshot,Yes,2015
KS,21,Male,Hispanic/Latino,Kansas City,39.0714535,-94.63771159999999,Gunshot,Unknown,2015
PA,35,Male,Hispanic/Latino,Reading,40.3287593,-75.90800379999999,Gunshot,No,2015
MD,16,Male,European-American/White,Essex,39.2973689,-76.4410618,Gunshot,No,2015
TX,51,Male,European-American/White,Laredo,27.5536661,-99.47484140000002,Gunshot,No,2015
FL,25,Male,African-American/Black,Miami Gardens,25.9505954,-80.2072358,Gunshot,Yes,2015
CA,58,Male,European-American/White,Victorville,34.473508100000004,-117.2669685,Medical emergency,No,2015
MS,34,Male,European-American/White,Iuka,34.80444310000001,-88.2025316,Gunshot,No,2015
UT,24,Male,European-American/White,Provo,40.2257785,-111.6907061,Gunshot,No,2015
OR,34,Male,European-American/White,Colton,45.1760727,-122.4381067,Gunshot,No,2015
CA,19,Male,Race unspecified,Gardena,33.9018922,-118.2852825,Vehicle,No,2015
ID,26,Male,European-American/White,Boise,43.57892329999999,-116.2223611,Gunshot,No,2015
AZ,56,Male,Race unspecified,Marana,32.358566499999995,-111.09024070000001,Gunshot,No,2015
MA,30,Male,European-American/White,Tewksbury,42.614217700000005,-71.2844035,Gunshot,No,2015
MO,31,Male,European-American/White,Springfield,37.6087024,-93.4359042,Gunshot,No,2015
NC,43,Female,European-American/White,Gastonia,35.2285802,-81.16942790000002,Gunshot,Unknown,2015
MI,32,Male,European-American/White,Eaton Rapids Township,42.5106864,-84.6999127,Gunshot,No,2015
TX,50,Male,Hispanic/Latino,Del Rio,29.368516200000002,-100.8306006,Gunshot,No,2015
TX,22,Male,Hispanic/Latino,Sugarland,30.3611062,-95.47315379999999,Vehicle,Unknown,2015
NC,20,Female,African-American/Black,Charlotte,35.25085120000001,-80.8184991,Gunshot,Unknown,2015
AL,40,Male,European-American/White,Daphne,30.662728700000002,-87.8501796,Gunshot,Unknown,2015
AL,38,Male,African-American/Black,Birmingham,33.4815391,-86.82431740000001,Gunshot,No,2015
OK,41,Male,African-American/Black,Tulsa,36.2053932,-96.0102478,Tasered,No,2015
AL,77,Male,African-American/Black,Birmingham,33.563937,-86.724527,Gunshot,Yes,2015
IN,32,Male,European-American/White,Griffith,41.539739000000004,-87.418605,Gunshot,Unknown,2015
TX,31,Male,Hispanic/Latino,Euless,32.854171799999996,-97.1085653,Gunshot,Unknown,2015
IN,51,Male,European-American/White,Indianapolis,39.7926013,-85.9918715,Gunshot,No,2015
NM,41,Male,European-American/White,Capitan,33.4480397,-105.66556070000001,Gunshot,Unknown,2015
FL,39,Male,African-American/Black,Coconut Creek,26.256551,-80.1680926,Tasered,No,2015
GA,40,Male,European-American/White,Clarkesville,34.630978999999996,-83.597945,Gunshot,Unknown,2015
FL,50,Male,European-American/White,Palm Bay,27.988984600000002,-80.6449801,Gunshot,No,2015
AL,18,Male,African-American/Black,Millbrook,32.5302185,-86.3623972,Gunshot,No,2015
GA,37,Male,European-American/White,Powder Springs,33.911256200000004,-84.6925982,Gunshot,No,2015
NE,39,Male,European-American/White,Omaha,41.241956200000004,-95.9328848,Gunshot,No,2015
LA,47,Male,European-American/White,Denham Springs,30.450378399999998,-90.96200209999999,Gunshot,Unknown,2015
PA,42,Male,European-American/White,Allentown,40.6261085,-75.4328814,Gunshot,No,2015
VA,56,Female,European-American/White,Suffolk,36.7669777,-76.60347519999999,Vehicle,No,2015
WI,30,Male,European-American/White,Green Bay,44.526891,-88.058095,Gunshot,Yes,2015
OK,37,Male,African-American/Black,Oklahoma City,35.4973564,-97.552111,Gunshot,No,2015
TX,21,Male,Race unspecified,Houston,29.894405100000004,-95.63802109999999,Gunshot,Yes,2015
PA,54,Male,Race unspecified,Chambersburg,40.0015556,-77.6444084,Medical emergency,No,2015
NV,43,Male,European-American/White,Las Vegas,36.240770399999995,-115.05696709999998,Gunshot,Unknown,2015
IN,31,Male,European-American/White,Terre Haute,39.4629327,-87.3788314,Gunshot,No,2015
MS,49,Male,African-American/Black,Gulfport,30.4247588,-89.09255019999999,Gunshot,Unknown,2015
WY,27,Male,European-American/White,Cheyenne,41.123177500000004,-104.8403964,Vehicle,No,2015
GA,34,Female,European-American/White,Sylvester,31.364597200000002,-83.93705909999998,Gunshot,No,2015
FL,42,Male,Hispanic/Latino,Lakeland,28.1036538,-81.95061590000002,Gunshot,No,2015
CA,21,Male,Hispanic/Latino,San Francisco,37.75250629999999,-122.4141068,Gunshot,No,2015
CA,27,Male,Hispanic/Latino,Santa Ana,33.747091499999996,-117.87762350000001,Gunshot,No,2015
NC,40,Male,African-American/Black,Tarboro,35.9169247,-77.5471212,Gunshot,No,2015
MO,34,Male,African-American/Black,St. Louis,38.6731893,-90.29134429999999,Gunshot,No,2015
MO,28,Male,African-American/Black,Columbia,38.9493533,-92.31043829999999,Gunshot,No,2015
AZ,37,Female,European-American/White,Ehrenberg,33.603478499999994,-114.52545420000001,Gunshot,No,2015
MI,17,Male,European-American/White,Grand Ledge,42.755615500000005,-84.8370579,Gunshot,No,2015
SC,24,Male,European-American/White,Pelzer,34.6641041,-82.5116011,Gunshot,No,2015
AZ,28,Female,Hispanic/Latino,Tucson,32.229649,-110.9895727,Gunshot,No,2015
CA,17,Female,Hispanic/Latino,Santa Rosa,38.414749799999996,-122.7135452,Vehicle,No,2015
MD,32,Male,African-American/Black,White Plains,38.5602288,-76.9349199,Tasered,Yes,2015
AL,26,Male,African-American/Black,Huntsville,34.748838299999996,-86.79623840000001,Vehicle,No,2015
OK,47,Male,African-American/Black,Oklahoma City,35.4058834,-97.5244766,Tasered,Yes,2015
CA,43,Male,African-American/Black,Los Angeles,34.043898299999995,-118.2437994,Gunshot,Yes,2015
AL,29,Male,Race unspecified,Huntsville,34.748838299999996,-86.79623840000001,Vehicle,No,2015
AL,31,Female,Race unspecified,Huntsville,34.748838299999996,-86.79623840000001,Vehicle,No,2015
AL,40,Male,Race unspecified,Huntsville,34.748838299999996,-86.79623840000001,Vehicle,Unknown,2015
MS,49,Male,European-American/White,Lucedale,30.790746399999996,-88.59829570000001,Gunshot,Unknown,2015
HI,63,Male,European-American/White,Waikoloa Village,19.9153502,-155.778043,Vehicle,Unknown,2015
TX,22,Male,Hispanic/Latino,San Antonio,29.3738419,-98.61036709999999,Gunshot,Drug or alcohol use,2015
IL,20,Male,African-American/Black,Joliet,41.5081071,-88.0724436,Gunshot,Unknown,2015
MD,25,Male,African-American/Black,Salisbury,38.379207,-75.6070929,Gunshot,No,2015
AZ,25,Male,European-American/White,Tempe,33.440288800000005,-111.93086059999999,Gunshot,No,2015
CA,28,Male,Asian/Pacific Islander,Stockton,37.9482671,-121.28585159999999,Gunshot,Unknown,2015
FL,26,Male,European-American/White,Deltona,28.886214000000002,-81.25309200000001,Gunshot,Unknown,2015
CA,58,Male,Hispanic/Latino,Stockton,37.953931,-121.27648700000002,Vehicle,No,2015
NE,34,Male,European-American/White,Lincoln,40.87458170000001,-96.6818421,Gunshot,Unknown,2015
CA,34,Male,Hispanic/Latino,Burbank,34.1510382,-118.34355020000001,Gunshot,No,2015
WI,45,Male,African-American/Black,Milwaukee,42.96828,-87.9054938,Gunshot,Unknown,2015
FL,48,Male,African-American/Black,Melrose,29.7425519,-81.9585072,Gunshot,No,2015
GA,62,Male,African-American/Black,Atlanta,33.703393,-84.408062,Vehicle,No,2015
CO,37,Male,African-American/Black,Aurora,39.73558,-104.79826899999999,Gunshot,Unknown,2015
WI,19,Male,African-American/Black,Madison,43.08203220000001,-89.366141,Gunshot,No,2015
TX,62,Male,European-American/White,Austin,30.398671999999998,-97.696077,Tasered,No,2015
DE,74,Male,African-American/Black,Harbeson,38.697595,-75.25868,Vehicle,No,2015
AZ,29,Male,European-American/White,Phoenix,33.4693769,-112.0433176,Gunshot,Unknown,2015
IL,24,Male,Race unspecified,Quincy,39.9336902,-91.40093979999999,Vehicle,No,2015
CA,43,Female,African-American/Black,Anaheim,33.8201998,-117.94143580000001,Gunshot,Yes,2015
DE,35,Male,European-American/White,Claymount,39.8174449,-75.4579429,Gunshot,No,2015
TX,33,Male,European-American/White,San Antonio,29.489913399999995,-98.5849535,Gunshot,No,2015
OK,40,Male,Hispanic/Latino,Oklahoma City,35.426507,-97.58332800000001,Gunshot,No,2015
FL,30,Male,African-American/Black,Cocoa,28.352679700000003,-80.7487637,Gunshot,No,2015
GA,27,Male,African-American/Black,Chamblee,33.8891246,-84.2863441,Gunshot,Yes,2015
NJ,64,Female,Asian/Pacific Islander,Hackensack,40.868377100000004,-74.04172609999999,Vehicle,No,2015
NC,58,Male,European-American/White,Penrose,35.274521500000006,-82.62693440000001,Gunshot,Drug or alcohol use,2015
CO,46,Male,European-American/White,Craig,40.5129148,-107.71051979999999,Gunshot,No,2015
