Date,Manner_of_Death,Armed,Age,Gender,Race,State,Signs_of_Mental_Illness,Threat_Level,Flee,Body_Camera
2/1/2015,shot,gun,53,M,A,WA,TRUE,attack,Not fleeing,FALSE
2/1/2015,shot,gun,47,M,W,OR,FALSE,attack,Not fleeing,FALSE
3/1/2015,shot and Tasered,unarmed,23,M,H,KS,FALSE,other,Not fleeing,FALSE
4/1/2015,shot,toy weapon,32,M,W,CA,TRUE,attack,Not fleeing,FALSE
4/1/2015,shot,nail gun,39,M,H,CO,FALSE,attack,Not fleeing,FALSE
4/1/2015,shot,gun,18,M,W,OK,FALSE,attack,Not fleeing,FALSE
5/1/2015,shot,gun,22,M,H,AZ,FALSE,attack,Car,FALSE
6/1/2015,shot,gun,35,M,W,KS,FALSE,attack,Not fleeing,FALSE
6/1/2015,shot,unarmed,34,F,W,IA,FALSE,other,Not fleeing,TRUE
6/1/2015,shot,toy weapon,47,M,B,PA,FALSE,attack,Not fleeing,FALSE
6/1/2015,shot and Tasered,knife,25,M,W,CA,FALSE,attack,Not fleeing,FALSE
7/1/2015,shot,gun,31,M,B,TX,FALSE,attack,Not fleeing,FALSE
7/1/2015,shot,knife,41,M,B,OH,TRUE,other,Not fleeing,FALSE
7/1/2015,shot,gun,30,M,W,IA,FALSE,attack,Car,FALSE
7/1/2015,shot,gun,37,M,B,LA,FALSE,attack,Foot,TRUE
8/1/2015,shot,vehicle,28,M,W,MT,FALSE,undetermined,Not fleeing,FALSE
8/1/2015,shot,shovel,42,M,W,UT,FALSE,attack,Not fleeing,TRUE
8/1/2015,shot,unarmed,36,M,B,AR,FALSE,attack,Not fleeing,FALSE
8/1/2015,shot,gun,49,M,W,UT,FALSE,attack,Not fleeing,TRUE
9/1/2015,shot,gun,71,M,W,AR,FALSE,attack,Not fleeing,FALSE
9/1/2015,shot,gun,33,M,H,TX,FALSE,attack,Not fleeing,FALSE
11/1/2015,shot,gun,39,M,W,IL,TRUE,attack,Not fleeing,FALSE
11/1/2015,shot,gun,23,M,H,CA,FALSE,attack,Not fleeing,FALSE
