,Date,Manner_of_Death,Armed,Age,Gender,Race,State,Signs_of_Mental_Illness,Threat_Level,Flee,Body_Camera
0,2/1/2015,shot,gun,53.0,M,A,WA,True,attack,Not fleeing,False
1,2/1/2015,shot,gun,47.0,M,W,OR,False,attack,Not fleeing,False
2,3/1/2015,shot and Tasered,unarmed,23.0,M,H,KS,False,other,Not fleeing,False
3,4/1/2015,shot,toy weapon,32.0,M,W,CA,True,attack,Not fleeing,False
4,4/1/2015,shot,nail gun,39.0,M,H,CO,False,attack,Not fleeing,False
5,4/1/2015,shot,gun,18.0,M,W,OK,False,attack,Not fleeing,False
6,5/1/2015,shot,gun,22.0,M,H,AZ,False,attack,Car,False
7,6/1/2015,shot,gun,35.0,M,W,KS,False,attack,Not fleeing,False
8,6/1/2015,shot,unarmed,34.0,F,W,IA,False,other,Not fleeing,True
9,6/1/2015,shot,toy weapon,47.0,M,B,PA,False,attack,Not fleeing,False
10,6/1/2015,shot and Tasered,knife,25.0,M,W,CA,False,attack,Not fleeing,False
11,7/1/2015,shot,gun,31.0,M,B,TX,False,attack,Not fleeing,False
12,7/1/2015,shot,knife,41.0,M,B,OH,True,other,Not fleeing,False
13,7/1/2015,shot,gun,30.0,M,W,IA,False,attack,Car,False
14,7/1/2015,shot,gun,37.0,M,B,LA,False,attack,Foot,True
15,8/1/2015,shot,vehicle,28.0,M,W,MT,False,undetermined,Not fleeing,False
16,8/1/2015,shot,shovel,42.0,M,W,UT,False,attack,Not fleeing,True
17,8/1/2015,shot,unarmed,36.0,M,B,AR,False,attack,Not fleeing,False
18,8/1/2015,shot,gun,49.0,M,W,UT,False,attack,Not fleeing,True
19,9/1/2015,shot,gun,71.0,M,W,AR,False,attack,Not fleeing,False
20,9/1/2015,shot,gun,33.0,M,H,TX,False,attack,Not fleeing,False
21,11/1/2015,shot,gun,39.0,M,W,IL,True,attack,Not fleeing,False
22,11/1/2015,shot,gun,23.0,M,H,CA,False,attack,Not fleeing,False
23,11/1/2015,shot and Tasered,gun,29.0,M,H,NV,False,attack,Foot,False
24,13/01/15,shot,gun,34.0,M,W,NM,False,attack,Foot,True
25,13/01/15,shot,knife,43.0,M,W,TX,True,other,Not fleeing,False
26,14/01/15,shot,vehicle,24.0,M,B,MN,False,attack,Not fleeing,False
27,14/01/15,shot,vehicle,29.0,M,W,MO,False,attack,Not fleeing,False
28,14/01/15,shot,gun,34.0,M,B,VA,True,attack,Not fleeing,False
29,14/01/15,shot,knife,75.0,M,W,NJ,False,attack,Not fleeing,False
30,14/01/15,shot,gun,68.0,M,W,TX,False,attack,Not fleeing,False
31,14/01/15,shot,knife,34.0,M,W,UT,False,attack,Not fleeing,True
32,15/01/15,shot,gun,27.0,M,B,IN,False,attack,Foot,False
33,15/01/15,shot,gun,39.0,M,B,CO,False,attack,Not fleeing,False
